EpRewMean,EpThisIter,EpLenMean,loss_pol_entpen,loss_kl,ev_tdlam_before,EpisodesSoFar,TimeElapsed,loss_ent,loss_pol_surr,loss_vf_loss,TimestepsSoFar
0.19,7,668.54,0.0,0.007968439,0.8613020181655884,895,673.900152683258,1.2394067,-0.026299626,0.02366995,573440
0.15,5,672.14,0.0,0.00877475,0.8409551531076431,900,677.411082983017,1.2407253,-0.02634653,0.032238312,577536
0.14,6,679.67,0.0,0.007886298,0.8206524103879929,906,680.8582236766815,1.2274591,-0.028068205,0.034160424,581632
0.17,6,674.7,0.0,0.008907051,0.8508565574884415,912,684.253075838089,1.2429492,-0.026847642,0.028068889,585728
0.07,5,677.02,0.0,0.009150341,0.8388130515813828,917,687.8494117259979,1.2311819,-0.02696114,0.025262997,589824
0.21,7,679.53,0.0,0.007642793,0.8704996556043625,924,691.4023208618164,1.200696,-0.02546072,0.02747408,593920
0.15,6,678.72,0.0,0.011516845,0.7676618844270706,930,694.8310768604279,1.175039,-0.027645383,0.038132217,598016
0.25,5,681.53,0.0,0.008101525,0.8368370831012726,935,743.272463798523,1.2191083,-0.025745198,0.023454525,602112
0.27,5,690.67,0.0,0.00987829,0.8010195344686508,940,746.881716966629,1.2147962,-0.026127258,0.030807344,606208
0.24,5,694.35,0.0,0.010225815,0.754136323928833,945,750.4199388027191,1.236257,-0.027578352,0.042204995,610304
0.28,5,701.25,0.0,0.008314049,0.8220447152853012,950,754.0078377723694,1.2469437,-0.025477055,0.034547932,614400
0.17,6,701.82,0.0,0.009692665,0.7797351181507111,956,757.5107448101044,1.221297,-0.024564417,0.039218057,618496
0.12,6,705.55,0.0,0.009060632,0.7970252335071564,962,761.0725567340851,1.1691816,-0.026518418,0.030678935,622592
-0.01,6,704.82,0.0,0.011432761,0.7766200006008148,968,764.5600047111511,1.1612661,-0.024917293,0.030324081,626688
-0.03,6,711.26,0.0,0.008102877,0.7822848409414291,974,768.1711618900299,1.1911036,-0.025785614,0.02860073,630784
0.06,5,715.06,0.0,0.007967246,0.8370935320854187,979,771.6197168827057,1.2264303,-0.02522605,0.023906063,634880
0.02,4,723.58,0.0,0.009554626,0.8207546025514603,983,775.1134288311005,1.2050952,-0.029018532,0.026716078,638976
0.11,6,729.58,0.0,0.010633861,0.8467495888471603,989,778.6389367580414,1.1945406,-0.029133389,0.022037331,643072
0.01,6,734.7,0.0,0.0069842082,0.7868543267250061,995,782.1894829273224,1.1873441,-0.024136716,0.02936553,647168
-0.03,5,736.47,0.0,0.008734636,0.8418617844581604,1000,785.773010969162,1.1568062,-0.02456405,0.030942883,651264
-0.12,6,735.55,0.0,0.008519907,0.8228376507759094,1006,789.356372833252,1.1701597,-0.02445005,0.031682976,655360
0.03,7,730.36,0.0,0.010559393,0.8225268721580505,1013,792.900251865387,1.229264,-0.026901297,0.026757209,659456
0.12,5,724.84,0.0,0.009394728,0.8118849992752075,1018,796.4321208000183,1.1884781,-0.025457392,0.030315934,663552
0.21,7,727.44,0.0,0.0068887337,0.7674955725669861,1025,800.0009689331055,1.1754373,-0.026185995,0.03245796,667648
0.15,4,735.78,0.0,0.008767129,0.7890268862247467,1029,803.4829978942871,1.1741244,-0.024957737,0.033037454,671744
0.16,6,731.47,0.0,0.007398737,0.7940564155578613,1035,807.2068276405334,1.1627245,-0.024899676,0.035796616,675840
0.24,7,723.04,0.0,0.009928047,0.8590625524520874,1042,810.9704158306122,1.2011917,-0.027554074,0.023297008,679936
0.17,5,722.48,0.0,0.008511817,0.8689924627542496,1047,814.4303817749023,1.1920215,-0.02338145,0.022006214,684032
0.24,6,720.02,0.0,0.00904609,0.8642294257879257,1053,818.0572769641876,1.2100245,-0.024670986,0.026584895,688128
0.37,6,717.91,0.0,0.009801911,0.8367573022842407,1059,821.652144908905,1.195882,-0.02945243,0.034244962,692224
0.43,5,725.28,0.0,0.009557649,0.8302335739135742,1064,825.3502190113068,1.1914655,-0.028239345,0.030280601,696320
0.7,7,713.08,0.0,0.0105993515,0.8022275269031525,1071,874.771744966507,1.1969832,-0.026098326,0.025500491,700416
0.71,5,713.62,0.0,0.009780382,0.8084876537322998,1076,878.3309917449951,1.1973602,-0.027196823,0.029719228,704512
0.66,6,708.6,0.0,0.008598709,0.8162167817354202,1082,881.8892817497253,1.1828396,-0.028390884,0.037071317,708608
0.62,5,707.88,0.0,0.010299624,0.8131672143936157,1087,885.4329738616943,1.1536636,-0.028090041,0.035026662,712704
0.54,6,708.86,0.0,0.011749024,0.8384392708539963,1093,888.9269549846649,1.1723957,-0.029827941,0.025720717,716800
