EpisodesSoFar,EpRewMean,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr,EpThisIter,loss_pol_entpen,loss_ent,ev_tdlam_before,TimestepsSoFar,EpLenMean
1718,-0.43,4.2517397e-05,25319.15305018425,0.009304086,-0.020965125,1,0.0,0.8977815,-1.2531678676605225,3739648,3014.72
1720,-0.44,3.013149e-05,25323.46291923523,0.009091463,-0.01802202,2,0.0,0.8438675,-1.6872284412384033,3743744,3014.72
1721,-0.45,0.0005281614,25327.45277118683,0.005924089,-0.007971725,1,0.0,0.8284861,0.5065378844738007,3747840,3014.72
1722,-0.46,0.00034516605,27063.33603620529,0.0057174577,-0.014151725,1,0.0,0.80439836,0.5806439816951752,3751936,3014.72
1724,-0.46,0.0005105532,27066.291320085526,0.006813889,-0.01315742,2,0.0,0.8181448,0.797615185379982,3756032,3025.01
1725,-0.48,2.884198e-05,27069.267899274826,0.008329953,-0.02179744,1,0.0,0.82588327,-0.7732402086257935,3760128,3025.01
1726,-0.47,0.0004945669,27072.48361825943,0.005668321,-0.009881958,1,0.0,0.87017286,0.772521585226059,3764224,3025.01
1728,-0.5,0.0014780336,27075.54934334755,0.012883677,-0.013046371,2,0.0,0.8367617,0.6333533525466919,3768320,3025.01
1729,-0.5,0.001175129,27078.513555288315,0.008886478,-0.011607362,1,0.0,0.8172096,0.08663088083267212,3772416,3025.01
1730,-0.5,0.0014026822,27081.730198144913,0.014372299,-0.013616045,1,0.0,0.82373655,0.685114860534668,3776512,3025.01
1732,-0.48,0.002674877,27084.828418254852,0.008838569,-0.012019663,2,0.0,0.8203066,0.47740447521209717,3780608,3025.01
1733,-0.5,0.0037478383,27087.83137512207,0.008284442,-0.01507039,1,0.0,0.8332721,0.5768491923809052,3784704,3025.01
1734,-0.49,0.0010523938,27090.814856290817,0.0072675655,-0.013638765,1,0.0,0.8526369,0.3033156394958496,3788800,3025.01
1736,-0.48,0.00014993042,27094.044609069824,0.00661707,-0.014346715,2,0.0,0.81837875,-0.6662585735321045,3792896,3025.01
1737,-0.48,0.001315961,27097.058562278748,0.010805926,-0.013532373,1,0.0,0.81747764,0.7106987833976746,3796992,3025.01
1739,-0.45,0.0010717054,27100.012599229813,0.0061267843,-0.012101039,2,0.0,0.775312,0.01650017499923706,3801088,3025.01
1740,-0.45,0.0007696275,27103.249799251556,0.012465445,-0.011013129,1,0.0,0.7272093,0.554971307516098,3805184,3010.0
1741,-0.45,0.00015124088,27106.236500263214,0.008513885,-0.010779905,1,0.0,0.7974395,-1.5454177856445312,3809280,3010.0
1743,-0.46,0.00095048477,27109.288370370865,0.0058148704,-0.012985981,2,0.0,0.77838516,0.5364474654197693,3813376,3010.0
1744,-0.43,1.971357e-05,27112.552908182144,0.00731971,-0.018219024,1,0.0,0.7902159,-2.694739580154419,3817472,3010.0
1745,-0.41,0.003147967,27115.59104824066,0.005510474,-0.00785189,1,0.0,0.7079346,0.3441157341003418,3821568,3010.0
1747,-0.36,0.001678879,27118.5927233696,0.0047439192,-0.008320979,2,0.0,0.75667286,0.5040875971317291,3825664,3010.0
1748,-0.35,0.0025674119,27121.719113349915,0.011383572,-0.0132606365,1,0.0,0.7785005,0.28887248039245605,3829760,3010.0
1749,-0.35,0.0013620366,27124.897207260132,0.0074328263,-0.013106917,1,0.0,0.7678481,0.34171855449676514,3833856,3010.0
1751,-0.35,0.0012594762,27127.80031633377,0.009611315,-0.0113595035,2,0.0,0.69746286,-0.11755752563476562,3837952,3010.0
1752,-0.35,8.7158114e-05,27130.79508137703,0.009445274,-0.014478825,1,0.0,0.74084145,-1.4182868003845215,3842048,3010.0
1754,-0.35,0.00091581355,27134.046938180923,0.006994516,-0.012654299,2,0.0,0.73279,0.24908745288848877,3846144,3010.0
1755,-0.33,6.0376657e-05,27137.06822514534,0.009938544,-0.016111135,1,0.0,0.74424887,-3.172163486480713,3850240,3010.0
1756,-0.29,0.00029608057,27140.084806203842,0.0044051334,-0.0055775447,1,0.0,0.7371446,0.3968507647514343,3854336,3010.0
1758,-0.3,0.0017967685,27143.258758306503,0.008641798,-0.012240718,2,0.0,0.78495,0.44246166944503784,3858432,3010.0
1759,-0.29,0.00090528134,27146.19969725609,0.011250868,-0.015085727,1,0.0,0.8138367,0.23222190141677856,3862528,3010.0
1760,-0.27,8.683037e-05,27149.205161333084,0.0077733374,-0.009677295,1,0.0,0.7271892,-3.133726119995117,3866624,3010.0
1762,-0.27,0.0034067226,27152.24666428566,0.009074242,-0.017592484,2,0.0,0.78897536,0.5213246643543243,3870720,3010.0
1763,-0.28,0.0032662172,27155.49852323532,0.006528047,-0.015723772,1,0.0,0.8312414,0.3703467845916748,3874816,3010.0
1764,-0.29,9.732465e-05,27158.559715270996,0.0065718144,-0.020103157,1,0.0,0.783449,-1.9993298053741455,3878912,3010.0
1766,-0.25,6.1005372e-05,27161.590256214142,0.004985207,-0.01249764,2,0.0,0.79845005,-1.9354865550994873,3883008,3010.0
1767,-0.24,0.00040370447,27164.87086725235,0.004590403,-0.009244064,1,0.0,0.76917785,-0.9630100727081299,3887104,3010.0
1769,-0.25,0.0016171944,27167.825446367264,0.01069393,-0.015053008,2,0.0,0.7970415,0.24367082118988037,3891200,3010.0
1770,-0.23,3.6187943e-05,27170.741969347,0.007865437,-0.014810836,1,0.0,0.8193345,-8.218551635742188,3895296,3010.0
1771,-0.23,0.0008723337,27173.873244285583,0.0060521294,-0.009479136,1,0.0,0.8009705,0.23077094554901123,3899392,3010.0
1773,-0.24,0.001993575,27176.873289346695,0.011019643,-0.014521886,2,0.0,0.7779588,0.2849786877632141,3903488,3010.0
1774,-0.23,0.002614545,27179.938729286194,0.010191494,-0.013126227,1,0.0,0.80224264,0.3600153923034668,3907584,3010.0
1775,-0.21,9.34961e-05,27182.83661532402,0.008631905,-0.019737469,1,0.0,0.8100836,-2.992856025695801,3911680,3010.0
1777,-0.21,0.00032046158,27186.135169029236,0.0068551777,-0.008624028,2,0.0,0.7957763,0.14421558380126953,3915776,3010.0
1778,-0.22,0.0021747167,27189.733886241913,0.013389913,-0.012420172,1,0.0,0.8480235,0.35210829973220825,3919872,3010.0
1779,-0.23,0.001630321,27192.99973344803,0.006663807,-0.015301036,1,0.0,0.7870736,0.35797834396362305,3923968,3010.0
1781,-0.21,0.00034026286,27196.19949531555,0.00590844,-0.0110003725,2,0.0,0.7813105,0.19321340322494507,3928064,3010.0
1782,-0.23,0.003718518,27199.481557369232,0.008714248,-0.012876823,1,0.0,0.70321566,0.18499994277954102,3932160,3010.0
1784,-0.17,0.00045536092,27202.490668058395,0.006144395,-0.005782308,2,0.0,0.8130061,0.32531464099884033,3936256,3010.29
1785,-0.18,0.0008529134,27205.71320915222,0.0076153553,-0.016145611,1,0.0,0.7267487,0.4552146792411804,3940352,3010.29
1786,-0.17,0.0028092323,27208.8311753273,0.013859233,-0.017951313,1,0.0,0.7921632,0.6890845000743866,3944448,3010.29
1788,-0.21,0.00042973948,27211.844457387924,0.0074020866,-0.015044995,2,0.0,0.81686616,0.28177058696746826,3948544,3010.29
1789,-0.21,0.000115821684,27215.131330251694,0.008088109,-0.013159792,1,0.0,0.75947344,-0.8108537197113037,3952640,3010.29
1790,-0.22,2.0550815e-05,27218.196662187576,0.008410541,-0.021954909,1,0.0,0.7833293,-0.2647702693939209,3956736,3010.29
1792,-0.25,0.0015462798,27221.161714315414,0.013976336,-0.013811817,2,0.0,0.7801072,0.6535474061965942,3960832,3010.29
1793,-0.26,0.001277763,27224.262758255005,0.009365037,-0.011902143,1,0.0,0.768802,0.250386118888855,3964928,3010.29
1795,-0.27,0.004724285,27227.48099732399,0.010237069,-0.016203666,2,0.0,0.7834816,0.4897668957710266,3969024,3010.29
1796,-0.26,0.0017221615,27230.507035255432,0.00683672,-0.015815629,1,0.0,0.7741016,0.6993035674095154,3973120,3010.29
1797,-0.26,0.00033817237,27233.467912197113,0.007261138,-0.012469842,1,0.0,0.7586445,-1.4315431118011475,3977216,3010.29
1799,-0.27,0.0015983675,27236.733837127686,0.006568821,-0.015165527,2,0.0,0.8149765,0.6126371026039124,3981312,3010.29
1800,-0.28,0.0027583272,27239.85020518303,0.010746419,-0.016882947,1,0.0,0.71764666,0.3763394355773926,3985408,3010.29
1801,-0.27,0.00043708552,27242.792414426804,0.0076186657,-0.012839257,1,0.0,0.82339627,0.42322391271591187,3989504,3010.29
1803,-0.24,0.0036576022,27245.877714395523,0.011118905,-0.011849635,2,0.0,0.71958876,0.5026930272579193,3993600,3010.29
1804,-0.23,0.00055208534,27248.958119392395,0.0062743803,-0.012045483,1,0.0,0.76776695,0.6344038844108582,3997696,3010.29
1805,-0.21,7.323702e-05,28759.168741226196,0.007715614,-0.015348886,1,0.0,0.8750264,-1.746138572692871,4001792,3010.29
1806,-0.21,4.9357925e-05,28762.295047283173,0.0065925242,-0.0098792715,1,0.0,0.8807855,-2.286341905593872,4005888,3020.29
1808,-0.21,4.7094676e-05,28765.446327209473,0.0073685385,-0.015201394,2,0.0,0.73368293,-0.3988800048828125,4009984,3020.29
1809,-0.19,0.000351664,28768.48698425293,0.009649079,-0.011171768,1,0.0,0.7892429,0.38433289527893066,4014080,3020.29
1811,-0.22,0.0020414337,28771.59197640419,0.007206985,-0.013950452,2,0.0,0.8035342,0.6614189445972443,4018176,3020.29
1812,-0.26,0.0042503285,28774.677574157715,0.0156252,-0.0144406445,1,0.0,0.8008749,0.5281084775924683,4022272,3020.29
1813,-0.27,0.0025639965,28777.62144112587,0.007459362,-0.014121084,1,0.0,0.79489404,0.35364043712615967,4026368,3020.29
1815,-0.26,0.00034456598,28780.375752210617,0.007321228,-0.013572503,2,0.0,0.7940955,-0.6472493410110474,4030464,3020.29
1816,-0.24,0.0039444882,28782.899728298187,0.006452863,-0.013174941,1,0.0,0.7562835,0.5612185597419739,4034560,3020.29
1817,-0.21,0.0010083382,28785.442550182343,0.0070900596,-0.012663478,1,0.0,0.81385446,0.2988411784172058,4038656,3020.29
1819,-0.18,0.0027154707,28788.19099020958,0.0081878025,-0.0150432335,2,0.0,0.7610876,0.6342275440692902,4042752,3020.29
1820,-0.19,0.000102471655,28790.981059074402,0.008043782,-0.015986104,1,0.0,0.80178535,-0.6835800409317017,4046848,3020.29
1821,-0.21,0.0014636839,28793.592386245728,0.0077533,-0.011757319,1,0.0,0.7642767,0.5055623948574066,4050944,3020.29
1823,-0.2,0.00014778915,28796.193073272705,0.008883288,-0.013780075,2,0.0,0.7283264,-0.9606297016143799,4055040,3010.0
1824,-0.18,0.0003946166,28798.875888347626,0.005544958,-0.009694854,1,0.0,0.7588668,0.17210853099822998,4059136,3010.0
1826,-0.18,0.00014009296,28801.575647354126,0.007544906,-0.012725683,2,0.0,0.6997495,-1.9154291152954102,4063232,3010.0
1827,-0.2,0.0018907049,28804.247124433517,0.006580013,-0.013993666,1,0.0,0.7065252,0.4238012433052063,4067328,3010.0
1828,-0.19,0.0023264117,28806.846627235413,0.012476046,-0.01386316,1,0.0,0.76194197,0.13177615404129028,4071424,3010.0
1830,-0.21,0.0017339006,28809.52860736847,0.008271565,-0.016188068,2,0.0,0.7655319,0.6648047268390656,4075520,3010.0
1831,-0.19,0.000119165736,28812.23267030716,0.008038918,-0.015765103,1,0.0,0.80822814,-2.703171730041504,4079616,3010.0
1832,-0.2,0.0027229278,28814.86051917076,0.01239336,-0.01448595,1,0.0,0.74259204,0.3818986415863037,4083712,3010.0
1834,-0.2,0.00028317986,28817.50948023796,0.00859487,-0.014536963,2,0.0,0.8098969,-1.6251542568206787,4087808,3010.0
1835,-0.21,0.0012511007,28820.20277237892,0.005577361,-0.012131847,1,0.0,0.774811,0.6409165263175964,4091904,3010.0
1837,-0.23,0.00013941403,28822.809005260468,0.008090025,-0.013163442,2,0.0,0.7916305,-2.445711374282837,4096000,3010.0
1838,-0.25,0.0012775265,28825.653987169266,0.008165943,-0.0141783925,1,0.0,0.767366,0.4134085774421692,4100096,3010.0
1839,-0.24,0.0025126156,28828.649635076523,0.006885202,-0.012630379,1,0.0,0.73647434,0.38624536991119385,4104192,3010.0
1841,-0.25,0.0008199662,28831.582753181458,0.0062197037,-0.0146186445,2,0.0,0.75096464,0.16603881120681763,4108288,3010.0
1842,-0.24,0.0011594899,28834.52835226059,0.007220707,-0.01139696,1,0.0,0.7480049,0.33286917209625244,4112384,3010.0
1843,-0.23,0.0024562126,28837.658898353577,0.0071182265,-0.013313085,1,0.0,0.7777887,0.5424869358539581,4116480,3010.0
1845,-0.28,0.0022800537,28840.68531036377,0.008976349,-0.0128458645,2,0.0,0.7550382,0.6493244469165802,4120576,3010.0
1846,-0.32,0.0019128773,28843.396604299545,0.0067287376,-0.0106041115,1,0.0,0.7241132,0.7029295563697815,4124672,3010.0
1847,-0.33,0.0016665716,28846.09302330017,0.009350873,-0.016707983,1,0.0,0.82342404,0.4511409401893616,4128768,3010.0
1849,-0.35,8.922774e-05,28848.905694246292,0.009820059,-0.02154664,2,0.0,0.7412312,-0.236741304397583,4132864,3010.0
1850,-0.34,0.0003541556,28851.734812259674,0.0048573706,-0.009166315,1,0.0,0.7706134,0.6470915675163269,4136960,3010.0
1852,-0.34,0.0014154115,28854.63432431221,0.0046932157,-0.011685916,2,0.0,0.7875725,0.5166980922222137,4141056,3010.0
1853,-0.32,0.0014910884,28857.62615442276,0.006010167,-0.011999349,1,0.0,0.77239126,0.6067867875099182,4145152,3010.0
1854,-0.34,0.0016465961,28860.285655260086,0.0077883834,-0.01705851,1,0.0,0.71275455,0.39686036109924316,4149248,3010.0
1856,-0.34,0.0005711086,28862.91438126564,0.00669729,-0.011747085,2,0.0,0.7364921,0.20956003665924072,4153344,3010.0
1857,-0.34,3.3281758e-05,28865.770617246628,0.009060537,-0.017018856,1,0.0,0.78089106,-2.964656114578247,4157440,3010.0
1858,-0.33,1.32817395e-05,28868.518181324005,0.008709263,-0.020842051,1,0.0,0.78423697,-1.17057466506958,4161536,3010.0
1860,-0.33,0.00022627215,28871.691236257553,0.0052118464,-0.009481507,2,0.0,0.7615741,0.4105401039123535,4165632,3010.0
1861,-0.34,0.00067725073,28874.50716328621,0.0080644805,-0.0138480235,1,0.0,0.72304213,0.5833783149719238,4169728,3010.0
1862,-0.32,0.0011265705,28877.40606021881,0.0075376267,-0.0109530315,1,0.0,0.7282656,-0.005866050720214844,4173824,3010.0
1864,-0.28,3.7823178e-05,28880.696311235428,0.00901273,-0.014074283,2,0.0,0.7824435,-2.6156246662139893,4177920,3010.0
1865,-0.29,0.0013552412,28884.00635123253,0.0046013985,-0.012940937,1,0.0,0.7536157,0.31193774938583374,4182016,3010.0
